,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1975,Chainlink,LINK,chainlink,1616,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,11,,,,2024-02-06T12:34:00.000Z,18.638991855510653,785050543.5724084,-27.9429,-0.36101763,-4.90679072,23.87817025,37.57467041,13.18204939,36.96500406,10942951567.640036,0.667,18638991855.51,,2024-02-06T12:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-02-06 18:06:32.547546
11,1958,TRON,TRX,tron,926,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88103646862.6077,88103727149.81424,True,,12,71659659264.0,8627518389.26604,,2024-02-06T12:34:00.000Z,0.1203957495455227,335438308.1978453,63.7027,-0.85023302,1.16045621,7.35411344,16.1694009,13.66296627,23.13743973,10607304601.717693,0.6466,10607314267.96,,2024-02-06T12:34:00.000Z,,,,,,2024-02-06 18:06:32.547546
12,6636,Polkadot,DOT,polkadot-new,682,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1282885477.022046,1407846153.4303977,True,,13,,,,2024-02-06T12:34:00.000Z,6.6955202290909615,146821702.87243575,4.4732,-0.03337303,-3.46794079,-4.07353893,-7.09740936,1.71128392,35.49778135,8589585663.008118,0.5236,9426262399.74,,2024-02-06T12:34:00.000Z,,,,,,2024-02-06 18:06:32.547546
13,3890,Polygon,MATIC,polygon,1270,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9610751804.680466,10000000000.0,False,,14,,,,2024-02-06T12:34:00.000Z,0.7872502989425353,206682407.16524354,-0.6794,-0.01950718,0.16649529,-2.3973053,-5.38867854,-11.0030912,2.48444022,7566067231.297207,0.4612,7872502989.43,,2024-02-06T12:34:00.000Z,,,,,,2024-02-06 18:06:32.547546
14,11419,Toncoin,TON,toncoin,198,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3458093216.990384,5102371147.712237,True,,15,3414166606.0,7008553437.568221,,2024-02-06T12:35:00.000Z,2.0527860079386593,20527235.53255121,-16.9423,0.16291608,-0.45390586,-2.9834,-7.32396617,-11.0215681,-22.13951515,7098725369.985446,0.4327,10474076099.33,,2024-02-06T12:35:00.000Z,,,,,,2024-02-06 18:06:32.547546
,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10814,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19619956.0,19619956.0,False,,1,,,,2024-02-06T12:37:00.000Z,42816.13668999275,18448615921.85844,20.9917,0.13305282,-0.68128664,-1.4089811,-2.94706982,-2.02744506,21.15034071,840050717947.6434,51.1896,899138870489.85,,2024-02-06T12:37:00.000Z,,,,,,2024-02-06 18:07:33.167502
1,1027,Ethereum,ETH,ethereum,8380,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120183642.22685288,120183642.22685288,True,,2,,,,2024-02-06T12:37:00.000Z,2327.155057753399,7919058833.173187,18.1997,0.28470233,0.18408275,0.69958573,3.90647837,-1.62634588,23.48122278,279685970867.4457,17.043,279685970867.45,,2024-02-06T12:37:00.000Z,,,,,,2024-02-06 18:07:33.167502
2,825,Tether USDt,USDT,tether,74184,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,96236495041.17906,99600769237.76942,True,,3,,,,2024-02-06T12:36:00.000Z,0.9988687448076293,30631203665.56813,15.9182,-0.01386778,-0.03015867,-0.1109833,-0.17586966,-0.12892669,-0.14639724,96127627006.46817,5.8577,99488095350.41,,2024-02-06T12:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-02-06 18:07:33.167502
3,1839,BNB,BNB,bnb,2053,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149546156.83354783,149546156.83354783,False,,4,,,,2024-02-06T12:36:00.000Z,302.35326767437994,711113262.915709,-25.6269,0.23267291,-0.50066592,-2.45943555,-1.33111828,28.65137727,22.68629141,45215769186.768486,2.7562,45215769186.77,,2024-02-06T12:36:00.000Z,,,,,,2024-02-06 18:07:33.167502
4,5426,Solana,SOL,solana,625,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,436207136.8020971,568877625.8772024,True,,5,,,,2024-02-06T12:37:00.000Z,93.9453284900416,1639003733.3331633,10.4954,-0.16084997,-3.65441455,-10.14027683,-1.00071155,28.02254245,117.78968031,40979622756.573524,2.4971,53443395433.67,,2024-02-06T12:37:00.000Z,,,,,,2024-02-06 18:07:33.167502
5,52,XRP,XRP,xrp,1226,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54436190886.0,99987935982.0,False,,6,,,,2024-02-06T12:37:00.000Z,0.500879975316432,802716932.4143796,15.2643,-0.41672617,-0.81129274,-5.75068686,-11.66990676,-23.37113587,-27.73914074,27265997947.300262,1.6615,50087997531.64,,2024-02-06T12:37:00.000Z,,,,,,2024-02-06 18:07:33.167502
6,3408,USDC,USDC,usd-coin,16595,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,27028374829.881546,27028374829.881546,False,,7,,,,2024-02-06T12:37:00.000Z,1.0001169099561187,4343676165.961685,19.704,-0.01084492,-0.00293196,-0.00110704,0.02337772,-0.0060283,-0.00192955,27031534715.99687,1.6472,27031534716.0,,2024-02-06T12:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-02-06 18:07:33.167502
7,2010,Cardano,ADA,cardano,1066,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35432672762.553,36599737145.585,False,,8,,,,2024-02-06T12:36:00.000Z,0.4917713062206604,274264440.49772584,7.0934,-0.28028886,-1.84061475,-6.56566142,-5.67717647,-4.80270253,38.46415682,17424771767.329906,1.0618,22129708779.93,,2024-02-06T12:36:00.000Z,,,,,,2024-02-06 18:07:33.167502
8,5805,Avalanche,AVAX,avalanche,660,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,367437497.90388566,435470407.90388566,False,,9,,,,2024-02-06T12:36:00.000Z,33.926238247940574,385539852.7554407,-10.4863,0.02375372,-4.31293087,-6.87042594,-2.56977681,23.79987221,165.19300553,12465772095.114391,0.7599,24426891538.52,,2024-02-06T12:36:00.000Z,,,,,,2024-02-06 18:07:33.167502
9,74,Dogecoin,DOGE,dogecoin,888,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142960656383.70526,142960656383.70526,True,,10,,,,2024-02-06T12:37:00.000Z,0.07798866584537635,206123288.49045056,-17.0761,-0.06334162,-2.14803899,-4.14078187,-2.75065048,-20.59763208,4.79543163,11149310859.74446,0.6794,11149310859.74,,2024-02-06T12:37:00.000Z,,,,,,2024-02-06 18:07:33.167502
10,1975,Chainlink,LINK,chainlink,1616,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,11,,,,2024-02-06T12:36:00.000Z,18.63960535931018,785235335.1245929,-27.9329,-0.33536328,-4.91420463,23.90342347,37.5750355,13.18903433,36.96940953,10943311755.702612,0.6668,18639605359.31,,2024-02-06T12:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-02-06 18:07:33.167502
11,1958,TRON,TRX,tron,926,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88103646862.6077,88103727149.81424,True,,12,71659659264.0,8631277907.507067,,2024-02-06T12:36:00.000Z,0.12044821306934686,335687676.09822756,64.0197,-0.81661484,1.20009765,7.45222045,16.2277992,13.70195277,23.1761853,10611926829.493864,0.6467,10611936499.94,,2024-02-06T12:36:00.000Z,,,,,,2024-02-06 18:07:33.167502
12,6636,Polkadot,DOT,polkadot-new,682,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1282885477.022046,1407846153.4303977,True,,13,,,,2024-02-06T12:36:00.000Z,6.695433511089847,146852818.3001186,4.4488,-0.01569759,-3.46700427,-3.99714984,-7.11621582,1.65467246,35.50398706,8589474413.743892,0.5236,9426140314.14,,2024-02-06T12:36:00.000Z,,,,,,2024-02-06 18:07:33.167502
13,3890,Polygon,MATIC,polygon,1270,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9610751804.680466,10000000000.0,False,,14,,,,2024-02-06T12:36:00.000Z,0.7873587105608035,206683279.61569855,-0.8583,-0.02743603,0.14848679,-2.29753771,-5.36955426,-10.97817386,2.49539326,7567109148.453127,0.4613,7873587105.61,,2024-02-06T12:36:00.000Z,,,,,,2024-02-06 18:07:33.167502
14,11419,Toncoin,TON,toncoin,198,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3458093216.990384,5102371147.712237,True,,15,3414166606.0,7010408309.331629,,2024-02-06T12:37:00.000Z,2.053329294771864,20519917.12019672,-16.9289,0.22375815,-0.46808475,-2.96778273,-7.41264939,-10.98955754,-22.23165549,7100604106.498232,0.4327,10476848150.4,,2024-02-06T12:37:00.000Z,,,,,,2024-02-06 18:07:33.167502
,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10814,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19619956.0,19619956.0,False,,1,,,,2024-02-06T12:37:00.000Z,42816.13668999275,18448615921.85844,20.9917,0.13305282,-0.68128664,-1.4089811,-2.94706982,-2.02744506,21.15034071,840050717947.6434,51.1896,899138870489.85,,2024-02-06T12:37:00.000Z,,,,,,2024-02-06 18:08:33.554405
1,1027,Ethereum,ETH,ethereum,8380,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120183642.22685288,120183642.22685288,True,,2,,,,2024-02-06T12:37:00.000Z,2327.155057753399,7919058833.173187,18.1997,0.28470233,0.18408275,0.69958573,3.90647837,-1.62634588,23.48122278,279685970867.4457,17.043,279685970867.45,,2024-02-06T12:37:00.000Z,,,,,,2024-02-06 18:08:33.554405
